"","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min"
"APC-ARID1A",0.0130960636481181,0.104122604968374,-0.0555542567567508,0.0934432757280819,-0.0164018496477627,0.089021591972732,0.0404300153091355,0.999999999999976,0.00591993245033918,-0.0850521700526316,-0.0578679800782366,-0.0429734289221868,-0.305330399111574,-6.58510241727409,-2.47474441452859,0.0480808971299674,1,0.085324243795106
"APC-ARID5B",0.0228924946005798,0.0876308015638433,-0.0541778995602769,0.0813039257389784,-0.0209658179820005,0.0800905552230765,0.00164117801604559,0.999999999997728,0.00168147650342771,-0.0980362121428571,-0.0578679800782366,-0.0646639027091893,-0.266314825928322,-6.57624128735626,-2.48818035715727,0.00209451592808128,1,0.0289563356304564
"APC-ATM",0.037269811104756,0.0777555115028011,-0.0353161594511394,0.0763301109780472,-0.00378163858696176,0.0747618449394058,1.03378466240735e-06,0.999998954128841,0.295307319803996,-0.0763676091428571,-0.0578679800782366,-0.057528041415033,-0.209055274264099,-6.45480745461896,-2.43759156434276,1.51804923848522e-06,1,1
"APC-BAP1",0.0213924462490084,0.0930549426102118,-0.0511131055788822,0.0888365946353515,-0.0177624878272818,0.0869163807733602,0.000167343459539968,1,0.000643410750967287,-0.0902680396551724,-0.0578679800782366,-0.0537410463273202,-0.272288965543366,-6.55650982686759,-2.47875001999724,0.000221897427349998,1,0.0137606879964939
"APC-BAX",0.00412313678673838,0.0592293142316453,-0.0597768665911428,0.0499794893169086,-0.0149104718221188,0.0485729830874998,0.154110290026232,1,4.83690898120149e-06,-0.0788104752,-0.0578679800782366,-0.0250656319085018,-0.341066259071895,-6.61228801591862,-2.47035392243145,0.17555862935978,1,0.000183249751687805
"APC-BRCA1",0.0576856884084225,0.0840350280842442,-0.0428945475172959,0.068546117960214,0.00720398265905178,0.0709980136080195,9.08036579963457e-31,1,0.961152060627069,-0.0933762532666667,-0.0578679800782366,-0.0931939615968525,-0.127746360956101,-6.5035979004378,-2.40525081042153,5.32768365058206e-30,1,1
"APC-BRCA2",0.070802184136031,0.067586912277063,-0.0381567043876994,0.0532825134720987,0.0215812947570638,0.0524047293592063,5.02007563399029e-45,1,0.999999997618256,-0.0873775937666667,-0.0578679800782366,-0.100311797824461,-0.0755081936631719,-6.47309517657425,-2.36292520113664,8.64496141645601e-44,1,1
"APC-CADM2",0.0250160717698124,0.0564441424903085,-0.0430646769592725,0.0560786269828024,-0.00730261519091517,0.0511515484604909,4.60589999823667e-08,1,0.0342696632647813,-0.07538336392,-0.0578679800782366,-0.0425314556115757,-0.257857400886638,-6.50469321137312,-2.44795702619156,7.23628364651875e-08,1,0.376299702652169
"APC-CASP8",0.00617857383590771,0.0579983642482981,-0.0567838929136631,0.0470926947377546,-0.0128438224504292,0.0509761129134162,0.0554006867726822,1,8.01754588720531e-05,-0.0758062892,-0.0578679800782366,-0.0241168829576711,-0.332880211009638,-6.59301894197129,-2.46426987881894,0.065067591373407,1,0.00241619678328051
"APC-CBFB",-0.0219312130133635,0.0591097811150275,-0.0804344868768654,0.0592642710882221,0.000711958213501889,0.0454186630674853,0.999996520530318,1,0.567051666050289,-0.05779131565,-0.0578679800782366,0.0220078774416001,-0.44483112979887,-6.74528391088972,-2.42436278964804,0.999999999998569,1,1
"APC-CDH1",0.0368367326187133,0.0695336979594259,-0.0298916452029872,0.061130928357188,0.00958124582170057,0.0615882959733788,1.75645475879509e-11,0.999999999237802,0.98099318198521,-0.057147132,-0.0578679800782366,-0.0361158845404767,-0.210780066226425,-6.41988387110653,-2.39825234568044,3.32248075629427e-11,1,1
"APC-CDKN1B",0.0405983161543175,0.0616513541646148,-0.0239241663269583,0.051316648288117,0.0155953199812758,0.051834783064045,2.31880471729495e-18,0.999999999767446,0.99997301745553,-0.0489271625,-0.0578679800782366,-0.0316574985760808,-0.195799065652803,-6.38146462518849,-2.38054741228585,6.59814389513543e-18,1,1
"APC-CSMD1",0.0208809054303435,0.0581253619727165,-0.0478706494587709,0.0502635873417053,-0.00986004477755223,0.0461607854680789,2.51405372387466e-08,1,0.00052802254122727,-0.0786115996666667,-0.0578679800782366,-0.0416245250187736,-0.27432624405262,-6.53563455916327,-2.45548588587824,4.02127290453293e-08,1,0.011867082875718
"APC-CTCF",0.06422593361813,0.0607533136469909,-0.0401867317083441,0.0614519544314998,0.00754350865980745,0.0512412433992693,1.39609057056145e-24,0.999999999999439,0.938012840585766,-0.0968691566666667,-0.0578679800782366,-0.10322711020656,-0.101698975244508,-6.4861647023275,-2.4042512741555,5.66121130447856e-24,1,1
"APC-DUSP26",0.0175033914951111,0.0627258793145228,-0.0555007154906328,0.0495536761778303,-0.00572935861425609,0.0364565243038123,9.35716000346551e-05,1,0.0159892810028106,-0.0787334656,-0.0578679800782366,-0.0383688770168745,-0.287777636989187,-6.58475771306776,-2.44332548987137,0.00012571017390674,1,0.198147538408663
"APC-FOXA1",0.0187959636632099,0.0664766708892815,-0.0471669882088285,0.0590850309640713,-0.00220502992796159,0.0462119887659873,1.23746520233011e-05,1,0.25151173959806,-0.0681679818,-0.0578679800782366,-0.0290959653849733,-0.282629798530078,-6.53110431529209,-2.43295015977137,1.71999880323871e-05,1,1
"APC-FTO",0.0650000997634686,0.0590508902878697,-0.0242346178270665,0.0508136373413241,0.0142433479905351,0.0448350626312612,5.30126743190348e-51,0.999999999999754,0.999998706369011,-0.0749913696,-0.0578679800782366,-0.082123489285232,-0.0986157568718146,-6.38346334404046,-2.38452750521658,1.757370153676e-49,1,1
"APC-GATA3",0.0284234470464561,0.0471979601419379,-0.0347315632358441,0.0404060066150215,0.0102222085623002,0.0356243238975119,3.2998800339306e-15,1,0.999848019592706,-0.05293280172,-0.0578679800782366,-0.0234882686882195,-0.244287081235143,-6.4510437637497,-2.39636540475992,7.94127209617417e-15,1,1
"APC-KAT6B",0.0266468496564016,0.0638263660883395,-0.0460504493094983,0.0573632547612091,-0.00412670736743342,0.0481914789587863,1.12549365924369e-09,1,0.104077934116037,-0.0768240063333333,-0.0578679800782366,-0.0456028759114983,-0.251362613725007,-6.52391592243112,-2.4386074180906,1.93066570783587e-09,1,0.932482031336929
"APC-KDM5C",0.0103424978360113,0.0665318327909599,-0.0547236314369024,0.0574679606065369,-0.00589757272708626,0.0474056256634281,0.0325061113154619,1,0.080724370971554,-0.070963702,-0.0578679800782366,-0.0234382197577747,-0.316296836682407,-6.57975476559539,-2.44382069820846,0.0387966729111633,1,0.787062616972652
"APC-KDM6A",0.0194169405857259,0.05769401732774,-0.0463514898038607,0.0466878563466473,-0.00358493345041337,0.043049976770507,2.82911906649104e-07,1,0.106658955805613,-0.06935336384,-0.0578679800782366,-0.0309023243474893,-0.280156676361086,-6.5258540522552,-2.43701248080495,4.24367859973656e-07,1,0.942865169321619
"APC-KLLN",0.0503969583750319,0.0655141592586784,-0.0242993008943957,0.0561847502510162,0.0145591877494276,0.0391866073790866,2.32325449017267e-28,0.999999999979756,0.999999977832006,-0.06013707152,-0.0578679800782366,-0.0526660498167953,-0.15677468580325,-6.38387978031482,-2.38359769927369,1.16250394489395e-27,1,1
"APC-KMT2C",0.0231497637013549,0.0538142639977809,-0.0446695368155958,0.0435335083641421,-0.00488170614971593,0.038240316974032,9.39359273459425e-12,1,0.0224077685617992,-0.0727010066666667,-0.0578679800782366,-0.037982790289785,-0.265290217938147,-6.51502546503752,-2.44083007161941,1.82906078796945e-11,1,0.26529197422273
"APC-MAP3K1",0.0273402564060527,0.0581206073184044,-0.0409113935974166,0.0475829865851347,0.00390945184013598,0.0378958386205197,2.80378619745947e-13,1,0.943935791528645,-0.0643421981633333,-0.0578679800782366,-0.0338144744911494,-0.248601030254654,-6.49083015048443,-2.41494963474056,6.02564100134726e-13,1,1
"APC-MLH1",0.00857885906977873,0.065772717424272,-0.0614979097855528,0.0560241629348935,-0.0124842591446685,0.0323825573061682,0.076161015544048,1,5.05737990045504e-05,-0.082561028,-0.0578679800782366,-0.0332719069915421,-0.323320759750581,-6.62336826992458,-2.46321135439594,0.0887429759326957,1,0.00163563067024473
"APC-MLLT4",0.0509838695295015,0.0579606626860409,-0.027637667142212,0.051652177089038,0.00667212600504681,0.0491068979941133,1.61321233084687e-34,0.999999999999998,0.982063809160228,-0.0719494106666667,-0.0578679800782366,-0.0650653001179315,-0.154437235030576,-6.40537252733644,-2.4068165521109,1.13782954824625e-33,1,1
"APC-MYSM1",0.0395009780830106,0.0444803136327319,-0.0397194718857855,0.0353984278096896,-0.00323495039120395,0.0309475483755672,7.46230684880225e-25,1,0.0950589018780656,-0.08245540036,-0.0578679800782366,-0.0640883983647739,-0.200169358674374,-6.48315643528484,-2.43598215982983,3.05401817330611e-24,1,0.881455271960245
"APC-NCOA3",0.058854205766843,0.0535922663896688,-0.0160684526025702,0.0496790021116986,0.0180249119294132,0.0466180895388605,7.18134223494462e-36,0.999987927271463,0.999999729473009,-0.05689774644,-0.0578679800782366,-0.0578839721286064,-0.123092587073083,-6.3308887281122,-2.37339489595891,5.73642156839552e-35,1,1
