"","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min"
"APC-ARID1A",-0.0231887996986426,0.125380359132014,-0.0730633311585842,0.123553378517397,-0.0258640380137426,0.12587611118785,0.990001238367861,0.999999999999144,0.00435506005837541,-0.0757385694736842,-0.00345564302510224,-0.0418951664466831,-1.90991618654028,-7.89018290567387,-2.01402347681287,1,1,0.0401028447042069
"APC-ARID5B",-0.00634173240322496,0.0834212602572203,-0.01306273589911,0.0779174040239796,0.00878407742445644,0.0800794823675277,0.815876884946195,0.971536475954529,0.898930425941968,0.00206307392857143,-0.00345564302510224,0.0117020496193628,-1.86792262797707,-7.43853515948456,-1.92494091597693,1,1,1
"APC-ATM",0.020315297442086,0.0404010541257859,-0.0497807149519546,0.0383527168365842,0.0175314846083263,0.0398487603305718,6.58913013407402e-07,1,0.999997517049769,-0.0525645277857143,-0.00345564302510224,-0.0708287365218201,-1.80147643147884,-7.71492562548123,-1.90245076253687,8.0635850018588e-06,1,1
"APC-BAP1",-0.00401254305256899,0.094466322251354,-0.0612353678042444,0.0933230749704074,-0.00725886686901422,0.0940323862763383,0.744052413653257,1,0.112527365686839,-0.0644816916206897,-0.00345564302510224,-0.0566646463686217,-1.86211681336932,-7.80114923912614,-1.96618837036041,1,1,0.645936306929648
"APC-BAX",-0.0226965625278896,0.0425971876004067,-0.0293775452816357,0.0396440954429965,-0.00319818950625391,0.0387256487191887,0.999999999999866,1,0.120396255852708,-0.00987917226,-0.00345564302510224,0.0162730332929918,-1.90868921984664,-7.56134305589393,-1.95574810445768,1,1,0.684277461513648
"APC-BRCA1",0.00319789589278566,0.072756116080085,-0.0417216302735457,0.0693972097959731,0.00165273640966465,0.0715013753988019,0.261599288490248,1,0.633973471575348,-0.0432667897566667,-0.00345564302510224,-0.0430090426243501,-1.84414383416714,-7.6542617701376,-1.94327605806929,1,1,1
"APC-BRCA2",0.0105721236510566,0.070118027115844,-0.0384978575965177,0.0686748319631554,0.00804433401424092,0.0695044398392299,0.0130451169155988,1,0.960522659068473,-0.0410256472333333,-0.00345564302510224,-0.0481421278592876,-1.82576258953891,-7.6299951831561,-1.92684284445154,0.0843796342930924,1,1
"APC-CADM2",-0.0129727240059714,0.0407785752908253,-0.0181865659342881,0.0423172888292333,0.00530960072831668,0.0407948842529407,0.99997248714712,0.999999998929419,0.956956707965265,9.57588000000006e-05,-0.00345564302510224,0.0165241258310737,-1.88445125751949,-7.47710421496206,-1.93387402179646,1,1,1
"APC-CASP8",-0.0166893116451198,0.0379963675609586,-0.0235259165809014,0.0340995964794176,0.00019551793578155,0.0360485655068948,0.999999998705209,1,0.531244608207593,-0.006641087,-0.00345564302510224,0.0135038676702221,-1.89371534710512,-7.51729557765152,-1.94702266164958,1,1,1
"APC-CBFB",0.0143999800665118,0.0590552772173271,-0.0387288963513162,0.049896945668885,0.012778144652828,0.0578598719987042,0.000738248971517714,1,0.998885045579331,-0.040350731765,-0.00345564302510224,-0.0512950688064096,-1.81622114771196,-7.63173430145044,-1.9146719090669,0.00559381792132851,1,1
"APC-CDH1",-0.0192734301249171,0.0457388284497159,-0.0263747663441638,0.0426228305377664,-0.00503898704075332,0.0421111334799523,0.999999980394488,0.999999999999998,0.0587657869724742,-0.01214032326,-0.00345564302510224,0.0105887498900193,-1.90015660651323,-7.538739974482,-1.96048091477881,1,1,0.381977615321082
