"","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min"
"APC-ARID1A",0.0442584810263493,0.130217587697275,-0.107138510867196,0.125982927293535,-0.0301047516064546,0.10601828251555,0.0023410152534661,0.999999999999522,0.00762240036988306,-0.1815017435,-0.0744864127432898,-0.138092443789976,-0.211637749343862,-8.77881660544948,-1.56947964778216,0.00349964625264492,1,0.0502850890072883
"APC-ARID5B",-0.0518892850359677,0.107733106268374,-0.165210983970758,0.0973577829394439,-0.101251382883391,0.0796526615985156,0.00343536728204129,1,3.32620052248856e-11,-0.214573081818182,-0.0744864127432898,-0.0892292094035436,-0.673002784863547,-9.24952303921698,-1.73993116468507,0.0050558235471551,1,2.10025804419992e-09
"APC-ATM",-0.00705159050717403,0.13393121934394,-0.185038809270577,0.0945336230057526,-0.0704006812365965,0.10620285484939,0.659329383614654,1,2.26497835347681e-08,-0.2483879,-0.0744864127432898,-0.173472028522979,-0.457849116961477,-9.41023747821803,-1.66601973980331,0.691896762275679,1,6.98456115514011e-07
"APC-BAP1",0.0409247216329245,0.0932372544721042,-0.101086098308455,0.0894815045773448,-0.0299291511300495,0.0676269850233398,3.49093176514873e-05,1,2.03932438969236e-05,-0.171939971071429,-0.0744864127432898,-0.135457429083428,-0.22763479310216,-8.72975877513916,-1.56905894806616,6.24693052710826e-05,1,0.000281681681326257
"APC-BAX",-0.0673744863467355,0.13579505634043,-0.173998445732301,0.114543853202952,-0.0754559458144345,0.0755961044173735,5.10070217880795e-06,1,5.63269265885445e-16,-0.1820799052,-0.0744864127432898,-0.0402190061099748,-0.74730852014336,-9.32074981098314,-1.67813103024915,9.99044474017628e-06,1,1.066992923663e-13
"APC-BRCA1",0.0392924959511304,0.0885508362197366,-0.103263270763154,0.0804834112907408,-0.0162495398374398,0.0515276749257885,0.000457689251178845,1,0.0229731383228783,-0.158805306551724,-0.0744864127432898,-0.130167009068567,-0.235467027697907,-8.7474058465842,-1.53628563956767,0.000732081962681724,1,0.123329479417557
"APC-BRCA2",-0.0306424557617792,0.138796940173363,-0.153280564378768,0.115860373883247,-0.0614777720496777,0.0818266239253572,0.0188544590307067,1,9.8458925609007e-14,-0.184115880666667,-0.0744864127432898,-0.0789870121615977,-0.571049878995581,-9.15282102259232,-1.64464243241996,0.02556340764286,1,1.18687759415948e-11
"APC-CADM2",0.041037506788568,0.121822437591103,-0.0787911787693127,0.106321714096228,0.00407171555788066,0.0814693248918694,0.00511392776084277,0.999999998026478,0.677762995624476,-0.11575697,-0.0744864127432898,-0.0823080640452783,-0.227093593556184,-8.5490473036527,-1.48760042783894,0.0073707263161712,1,1
"APC-CASP8",0.00576024339223659,0.124027433005424,-0.105601427039512,0.101818538413876,-0.0328673527682515,0.0869752504797799,0.629204846561787,1,6.44745958900586e-05,-0.1442290232,-0.0744864127432898,-0.0755028538489468,-0.396371534650903,-8.76635777240407,-1.57609822620498,0.663743537423174,1,0.000763115681266893
"APC-CBFB",0.0202065999211259,0.110129608011792,-0.129212811110695,0.0878760323938384,-0.0366767599681794,0.0631203564205466,0.107332477640495,1,5.81214692853879e-07,-0.186096171,-0.0744864127432898,-0.131816358177836,-0.327050695841594,-8.95773984722361,-1.58522471925285,0.131536844132437,1,1.26342734872827e-05
"APC-CDH1",0.028758079907714,0.14627377182015,-0.0952096667830792,0.121517032191347,-0.00155361930920681,0.0929549836718919,0.0656138598125752,0.999999999995702,0.436419479515541,-0.1264590124,-0.0744864127432898,-0.0797930331644243,-0.286016420898576,-8.68212735910397,-1.50107748000532,0.0830190630834683,1,1
"APC-CDKN1B",-0.00780938524984963,0.103975849237395,-0.111677573350112,0.0788850202637438,-0.0341684768997375,0.0597727617391719,0.522530408872841,1,6.70875808412509e-07,-0.138036665,-0.0744864127432898,-0.0557408670068606,-0.461485394877124,-8.81560797664132,-1.57921543046202,0.562553015443743,1,1.412033844373e-05
"APC-CSMD1",0.0395917490754927,0.107512853999118,-0.0747615869789677,0.0905656739530889,-0.00762884161220631,0.0803836524673828,0.000153430764781537,0.999999999999999,0.153507533386743,-0.121982177666667,-0.0744864127432898,-0.0870875139988696,-0.234031061642687,-8.51638544718604,-1.51563236248511,0.000257530625443441,1,0.58157425505949
"APC-CTCF",0.101664825644921,0.123204150993785,-0.101603845920505,0.0892195431478242,0.0328297782320925,0.105379181707554,6.71124145511705e-07,0.999999999999472,0.976510721587624,-0.170438893333333,-0.0744864127432898,-0.197617306234965,0.0638265834086708,-8.73395537843562,-1.41870250086713,1.43765850880213e-06,1,1
"APC-DUSP26",0.0276401314659654,0.146056660220455,-0.0933808834217873,0.134374624236281,-0.0111880643122473,0.113036591673072,0.077692146398937,0.999999999914214,0.180116274839357,-0.1322090792,-0.0744864127432898,-0.0853627979226757,-0.291380896264568,-8.66730415547371,-1.52415946907229,0.0970968766493784,1,0.657945400652858
"APC-FOXA1",-0.0107887880513964,0.161403021910184,-0.127230998895011,0.138715917793109,-0.024390979516385,0.0918406339692927,0.499863559588954,1,0.00600562204493255,-0.14083319036,-0.0744864127432898,-0.0555579895653139,-0.475782058602749,-8.9416762682061,-1.55579071968381,0.539754951152241,1,0.0412614239978268
"APC-FTO",0.0593465337125482,0.106291606995928,-0.102033997528457,0.0972478319003173,-0.011804181518995,0.0797058168299087,6.61236419964409e-08,1,0.0630561001943398,-0.17318471276,-0.0744864127432898,-0.158044833729258,-0.139237731656719,-8.73744197231629,-1.52563554897369,1.56468058281114e-07,1,0.284395880468349
"APC-GATA3",0.0252296633187243,0.123053540574608,-0.0904350878725475,0.10187153022757,-0.0207125084487282,0.0722765744201146,0.0200818455827915,1,0.000737649165152079,-0.13637725964,-0.0744864127432898,-0.0871205102154345,-0.302947527169442,-8.64342700949581,-1.54697792050959,0.0271442683412656,1,0.00652081861994438
"APC-KAT6B",0.0199313308626959,0.13275510342709,-0.100509748437834,0.119764642189189,-0.0329544860328033,0.0996647809036093,0.0857507322263311,1,0.000191130019234406,-0.153395565333333,-0.0744864127432898,-0.0988404834527395,-0.32837157436141,-8.72508717123281,-1.57630697814234,0.106366202929949,1,0.00199796766806726
"APC-KDM5C",0.0310578590136719,0.14189803295673,-0.083240443028281,0.111895282259257,0.0067616120419529,0.110883188402778,0.0989924005054135,0.999999843452235,0.686200755936233,-0.10753669,-0.0744864127432898,-0.0641081362703822,-0.274980931335355,-8.58511081533565,-1.48115603366605,0.121653311464484,1,1
"APC-KDM6A",0.0221905032008999,0.105067533026822,-0.105157519158712,0.0833610520557398,-0.0247486764403885,0.0652189357278437,0.0590760922304793,1,0.000310215511069743,-0.1520966988,-0.0744864127432898,-0.0998007892576102,-0.317530936364839,-8.76275967705311,-1.55664768201911,0.0750334274881375,1,0.00298076643245275
"APC-KLLN",0.0498178992170485,0.104381528035572,-0.0701939048299165,0.0890327021027542,0.002456814446965,0.0629613247343559,2.26269050577019e-05,0.999999999993467,0.641541468922193,-0.1175549896,-0.0744864127432898,-0.0928864760737588,-0.184960882308196,-8.47936209928885,-1.49146937200486,4.13838291124312e-05,1,1
"APC-KMT2C",0.0359442883062889,0.0875426432876892,-0.0785978779877547,0.0745635538070599,-0.0163163990392897,0.0596686893203079,8.46998837968734e-05,1,0.00432187758163372,-0.130858565333333,-0.0744864127432898,-0.0923164408963325,-0.251533401387634,-8.5474805041577,-1.53644581935651,0.000145023465852241,1,0.0303217443028906
"APC-MAP3K1",0.0487460999746511,0.130921976614078,-0.0654173786965352,0.111579172518633,0.00525567133785295,0.0980534434419459,3.33409381777651e-05,0.999999999835623,0.727689552512526,-0.108907807333333,-0.0744864127432898,-0.0831674945646947,-0.190103910750668,-8.44064596646579,-1.48476393291261,5.97433567888062e-05,1,1
"APC-MLH1",0.0174780156445436,0.0999817771822407,-0.102733523642686,0.0894359379796794,-0.0174854527127702,0.0529982981845426,0.313378055202509,0.999999999946261,0.0446909034531616,-0.137696992,-0.0744864127432898,-0.0806885949012539,-0.340143806927169,-8.74311198127164,-1.53924661214753,0.350370405732316,1,0.213935516169286
"APC-MLLT4",0.0155671815182103,0.115023490122055,-0.0830957156316639,0.0946635786403729,0.00250584101654081,0.0733362623377607,0.169176353570571,1,0.634588361133319,-0.0961570561333333,-0.0744864127432898,-0.0372378249082538,-0.349312944086286,-8.58393772741483,-1.49135191523983,0.200114045347526,1,1
"APC-MYSM1",0.0752688314199726,0.103553947508658,-0.0659211971844893,0.0990799505932607,0.00592873780446191,0.0733437567597793,8.11835714712324e-12,0.999999999915171,0.784529850942588,-0.1352612908,-0.0744864127432898,-0.136043709476683,-0.0628345894081549,-8.44472966724616,-1.483151415241,2.73917088475456e-11,1,1
