"","f.avg","f.se","l","u","p_f.avg_vs_0","p.adj_I","f.ctrl","diff","p_f.avg_vs_CTRL","p.adj_II","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min","gi.Weighted.Avg.Add","gi.Weighted.Avg.Max","gi.Weighted.Avg.Min","fisher.p.Add","fisher.p.Add.adj","fisher.p.Max","fisher.p.Max.adj","fisher.p.Min","fisher.p.Min.adj"
"APC-CDH1",-0.122998085641949,0.00997931604762058,-0.141088886449313,-0.101577772133312,0,0,-0.153079628839346,0.0300815431973966,0.032,0.0555069182389937,0.028758079907714,0.14627377182015,-0.0952096667830792,0.121517032191347,-0.00155361930920681,0.0929549836718919,0.0656138598125752,0.999999999995702,0.436419479515541,-0.1264590124,-0.0744864127432898,-0.0797930331644243,-0.286016420898576,-8.68212735910397,-1.50107748000532,0.0830190630834683,1,1,0.00999174276400165,0.108096256174274,-0.087405821036304,0.0959043490035724,-0.0220778781996944,0.0706839564457495,0.40372412758602,0.999999999999994,0.004389352621741,-0.119475442,-0.076086791390709,-0.0533803933732926,-0.463110812221727,-12.8383874204479,-1.07075674383062,0.464703292690159,1,0.0176372168982684,0.016620385219144,-0.0904010178561095,-0.0145582719529837,0.122674502242274,0.136924570684558,1,1,0.0139028904988798,0.0434793226450818
"APC-CDKN1B",-0.129031330974051,0.00675974563508022,-0.141574295669802,-0.116374754995465,0,0,-0.153079628839346,0.0240482978652944,0.079,0.120243929359823,-0.00780938524984963,0.103975849237395,-0.111677573350112,0.0788850202637438,-0.0341684768997375,0.0597727617391719,0.522530408872841,1,6.70875808412509e-07,-0.138036665,-0.0744864127432898,-0.0557408670068606,-0.461485394877124,-8.81560797664132,-1.57921543046202,0.562553015443743,1,1.412033844373e-05,-0.00571098425700813,0.086254154511385,-0.0965712634353867,0.0667163533602326,-0.0291657208216214,0.0548665269973866,0.533353227336916,1,1.55936420192708e-06,-0.120026,-0.076086791390709,-0.0382282243522828,-0.527867654690766,-12.9477865076513,-1.0871032855741,0.592316900710847,1,1.4769406655395e-05,-0.00656638113261519,-0.102870662467218,-0.0314533865970228,0.63476392556877,0.647459204080146,1,1,2.99048602484005e-11,4.55791318268724e-10
"APC-CSMD1",-0.125263815810201,0.0101075908432188,-0.14368519679271,-0.104133808988093,0,0,-0.153079628839346,0.0278158130291447,0.053,0.0849848837209302,0.0395917490754927,0.107512853999118,-0.0747615869789677,0.0905656739530889,-0.00762884161220631,0.0803836524673828,0.000153430764781537,0.999999999999999,0.153507533386743,-0.121982177666667,-0.0744864127432898,-0.0870875139988696,-0.234031061642687,-8.51638544718604,-1.51563236248511,0.000257530625443441,1,0.58157425505949,0.000529166887697269,0.119762639803506,-0.0945207548242921,0.106799014582835,-0.0334955429546773,0.0903677234381113,0.957943319754319,1,3.0332246580665e-05,-0.128545464666667,-0.076086791390709,-0.0529878401636549,-0.502133749737822,-12.9233115548242,-1.09708906291358,0.964489629456512,1,0.000213939143435967,0.0221597701370582,-0.0830268906701355,-0.0190548835424089,0.00144409209807329,0.00195594088053645,1,1,6.18221630996881e-05,0.000334596686817088
"APC-CTCF",-0.146731707073664,0.0128884786933994,-0.170952171142709,-0.1201394886202,0,0,-0.153079628839346,0.00634792176568125,0.733,0.784179208688906,0.101664825644921,0.123204150993785,-0.101603845920505,0.0892195431478242,0.0328297782320925,0.105379181707554,6.71124145511705e-07,0.999999999999472,0.976510721587624,-0.170438893333333,-0.0744864127432898,-0.197617306234965,0.0638265834086708,-8.73395537843562,-1.41870250086713,1.43765850880213e-06,1,1,0.091591355651673,0.0798971301509382,-0.0554624030110215,0.0743094610882358,0.0240292357293611,0.0540373942527843,8.51397028581022e-10,0.999999964403485,0.983221539655602,-0.123024522933333,-0.076086791390709,-0.138529087194297,-0.126600264070986,-12.4571095047775,-0.964420880759822,3.6773695762164e-09,1,1,0.0945735505016116,-0.0743607724552838,0.0258615551992114,2.06264078004419e-14,5.66265357005921e-14,0.999999999999999,1,0.999194265308226,1
"APC-DUSP26",-0.129117912704222,0.01492420754527,-0.156084075657973,-0.0974498255668585,0,0,-0.153079628839346,0.0239617161351231,0.186,0.24805996131528,0.0276401314659654,0.146056660220455,-0.0933808834217873,0.134374624236281,-0.0111880643122473,0.113036591673072,0.077692146398937,0.999999999914214,0.180116274839357,-0.1322090792,-0.0744864127432898,-0.0853627979226757,-0.291380896264568,-8.66730415547371,-1.52415946907229,0.0970968766493784,1,0.657945400652858,0.0211463521994869,0.111142112889915,-0.0785874071110561,0.103643471233051,-0.026292981489457,0.0970438533558963,0.0690032295390168,0.999999999995234,0.00483102461629255,-0.1260267408,-0.076086791390709,-0.0710863016087779,-0.417110058018275,-12.7331304789936,-1.08047794752468,0.0934609625829789,1,0.0188965741628434,0.0235276666990611,-0.0841054381704008,-0.0198837853983916,0.0333915972036795,0.0397461920036615,1,1,0.00700193505376506,0.0241785569825325
"APC-FOXA1",-0.141837952929943,0.0094893971701341,-0.158361561435388,-0.120098124536675,0,0,-0.153079628839346,0.0112416759094029,0.436,0.510393887945671,-0.0107887880513964,0.161403021910184,-0.127230998895011,0.138715917793109,-0.024390979516385,0.0918406339692927,0.499863559588954,1,0.00600562204493255,-0.14083319036,-0.0744864127432898,-0.0555579895653139,-0.475782058602749,-8.9416762682061,-1.55579071968381,0.539754951152241,1,0.0412614239978268,-0.0260422838009738,0.112115568603779,-0.125356403504274,0.09273078155976,-0.0435285970966999,0.0578501400779452,0.0258620814343121,1,2.04399661017353e-12,-0.1428427168,-0.076086791390709,-0.0407136416083171,-0.61171237541971,-13.2913670912651,-1.12022808378289,0.0389694545248838,1,1.0424382711885e-10,-0.0210777375586801,-0.125935390670409,-0.0380923150056292,0.0691414735567547,0.0795847169585561,1,1,4.05473213831376e-13,7.95833794403261e-12
"APC-FTO",-0.162904950195563,0.0088342795676702,-0.179888022580022,-0.144785548557164,0,0,-0.153079628839346,-0.00982532135621794,0.483,0.5550475,0.0593465337125482,0.106291606995928,-0.102033997528457,0.0972478319003173,-0.011804181518995,0.0797058168299087,6.61236419964409e-08,1,0.0630561001943398,-0.17318471276,-0.0744864127432898,-0.158044833729258,-0.139237731656719,-8.73744197231629,-1.52563554897369,1.56468058281114e-07,1,0.284395880468349,0.031673729750543,0.080364574136317,-0.0894107600734708,0.0679864127936876,-0.0315406989759862,0.0555020697259372,0.000183649540506601,1,9.22983447792332e-08,-0.1526251888,-0.076086791390709,-0.108212127159834,-0.373695960022831,-12.8623184530172,-1.0925806475319,0.000385315333404672,1,1.27487088726316e-06,0.041739065439859,-0.093554897551908,-0.0250957992355116,3.17362908404721e-10,6.78747123459129e-10,1,1,1.16178140496084e-07,1.05515215272471e-06
"APC-GATA3",-0.135431661351476,0.00657369891169014,-0.147203960369201,-0.121849757376747,0,0,-0.153079628839346,0.01764796748787,0.134,0.188364933741081,0.0252296633187243,0.123053540574608,-0.0904350878725475,0.10187153022757,-0.0207125084487282,0.0722765744201146,0.0200818455827915,1,0.000737649165152079,-0.13637725964,-0.0744864127432898,-0.0871205102154345,-0.302947527169442,-8.64342700949581,-1.54697792050959,0.0271442683412656,1,0.00652081861994438,0.0275116427913172,0.0642281990357934,-0.0780969756050199,0.0508320363583922,-0.0288774380036629,0.0425252311608465,0.000128956556775901,1,7.78915559685582e-10,-0.1344860564,-0.076086791390709,-0.0859109078006082,-0.390860087578536,-12.7272766689144,-1.08643842499959,0.000275356512535981,1,1.84436077168408e-08,0.0270230587123143,-0.0805565593525387,-0.0267777802428447,3.59033348053059e-05,5.50379444529892e-05,1,1,1.67688130789041e-11,2.60720926916931e-10
"APC-KAT6B",-0.146518888574495,0.0111996547814024,-0.165770100293391,-0.12314668890657,0,0,-0.153079628839346,0.0065607402648509,0.65,0.711388888888889,0.0199313308626959,0.13275510342709,-0.100509748437834,0.119764642189189,-0.0329544860328033,0.0996647809036093,0.0857507322263311,1,0.000191130019234406,-0.153395565333333,-0.0744864127432898,-0.0988404834527395,-0.32837157436141,-8.72508717123281,-1.57630697814234,0.106366202929949,1,0.00199796766806726,0.0210997758479947,0.0976714753676921,-0.0839423789602222,0.0902026086819945,-0.0346000591917831,0.0799248146428344,0.0196368651620966,1,4.72940234693866e-06,-0.139642214,-0.076086791390709,-0.0846551984572856,-0.417302135321302,-12.7970476372485,-1.0996363853838,0.0303832942881448,1,4.07219968314329e-05,0.0206894244801842,-0.0899388245598248,-0.0339559900081204,0.0124382116726383,0.0156778219371848,1,1,1.97276275093361e-08,2.01221800595228e-07
"APC-KDM5C",-0.104025369017831,0.0156655640991074,-0.132640688183015,-0.0699102663028069,0,0,-0.153079628839346,0.0490542598215149,0.013,0.0253564356435644,0.0310578590136719,0.14189803295673,-0.083240443028281,0.111895282259257,0.0067616120419529,0.110883188402778,0.0989924005054135,0.999999843452235,0.686200755936233,-0.10753669,-0.0744864127432898,-0.0641081362703822,-0.274980931335355,-8.58511081533565,-1.48115603366605,0.121653311464484,1,1,0.0573222897415422,0.0915403526499334,-0.0502489130187872,0.0775674424741423,0.00705716342699609,0.0800918880611352,2.64622642281041e-05,0.99999137358693,0.742370985961162,-0.100514039333333,-0.076086791390709,-0.0817495376841666,-0.267923264829661,-12.3948810796279,-1.00356321266004,6.28834451011937e-05,1,1,0.049603938618412,-0.0609570965372933,0.00695583271298406,3.62875051969837e-05,5.54985373600927e-05,0.99999999996143,1,0.853011838619914,1
